"Iteration: Iteration","Lift Monitor: Force (N)"
1,-4099409.7090564207
2,-3953485.9963909276
3,-3635853.5366366487
4,-1714831.7153242747
5,-795027.72038603853
6,-280461.00836482731
7,486070.95263350767
8,1137614.5104863828
9,2178033.565165597
10,2292927.6737390421
11,2302200.7711431272
12,2220343.1612437712
13,1757792.9297641467
14,446641.54530616425
15,77753.835998668364
16,-145133.78357527504
17,-234135.67363560246
18,-296152.67529249721
19,-321914.73967104696
20,-329884.60830397683
21,-321473.84404080594
22,-300395.09987703559
23,-240745.80297612614
24,-8959.8968654944965
25,57014.256314392136
26,181271.24615072101
27,192804.32659210725
28,200602.56935280943
29,200917.43351276428
30,196489.88036984357
31,187750.68818422529
32,171682.45555443174
33,105653.0527936429
34,95422.023340066124
35,37908.770860073557
36,34270.686692963412
37,31463.942371190948
38,30638.879899076721
39,31997.381130833295
40,38023.105620152382
41,69749.224135462326
42,71699.10451613825
43,76082.733284353701
44,89727.492414343811
45,90824.985054819626
46,91576.646799909824
47,91882.994719932438
48,91545.563030988807
49,90402.042917121711
50,88800.429131090976
51,85937.349875328597
52,84021.191499243694
53,70623.673211248024
54,70109.842549303226
55,69971.437763557551
56,69988.662439039908
57,70193.880414508589
58,70643.780944135404
59,71376.396339916013
60,72385.902791849076
61,74089.911273326856
62,75182.605440523199
63,77750.330367425151
64,78418.867420203125
65,78842.658923914802
66,78748.392651173446
67,77987.322868066782
68,76533.111950934181
69,74632.486662810232
70,72373.517911378076
71,69738.528518151288
72,67184.061559721958
73,64853.519445763843
74,62830.272273350849
75,61287.928871959863
76,59952.048015189517
77,59620.770734646096
78,59969.315180012978
79,60599.984360375543
80,61867.666375372086
81,63641.56678492199
82,65625.488974276974
83,67664.578195441019
84,69784.567733163916
85,71691.3818822381
86,73472.827322645506
87,75075.753885388927
88,75600.660758768165
89,75545.919827750709
90,75185.996307556459
91,73959.445903484433
92,72168.068577119775
93,69823.968424133753
94,67262.552630128135
95,65226.163283074849
96,63349.234922460972
97,62099.553689506058
98,61464.860178632654
99,61463.802210509937
100,62064.2590904112
101,63089.296856661414
102,64443.552426982147
103,65855.496725558769
104,67579.571467808099
105,69456.509510493765
106,71530.108932198025
107,72521.45017184125
108,72863.329398553877
109,73020.260620150046
110,72513.671109142
111,71114.607838343494
112,68160.776937283707
113,65332.273306210969
114,62619.478233725924
115,60823.445444564197
116,59386.815121278698
117,58930.303901274361
118,58787.912297704359
119,59005.560100449402
120,59666.347545111465
121,60953.524992142513
122,62679.935959838236
123,64601.974316574408
124,66674.728971184522
125,68712.650187507941
126,70466.296203836275
127,72042.26445819487
128,73229.955608424672
129,74202.379310080694
130,74835.593676459015
131,74954.652245095989
132,74651.751079748312
133,73924.546028601966
134,72817.776867223525
135,71462.838633848587
136,69978.873441749078
137,68608.941817392901
138,67018.836521988167
139,66591.784906827161
140,66524.777778986652
141,66553.583652416637
142,66650.34227671953
143,67081.555037579339
144,67691.239703244777
145,68563.062210698423
146,69693.330266680903
147,70960.645463026711
148,72218.072133771158
149,73302.451983624138
150,74194.218796417379
151,74538.866668418195
152,74536.399028607397
153,74039.630929431936
154,73197.240137377958
155,72052.229255225044
156,70754.494271683827
157,69438.643561094737
158,68167.750380879079
159,67043.719193480196
160,66316.463906016084
161,65812.923494699484
162,65708.434509094353
163,65942.998381813348
164,66444.43015497431
165,67241.321003373916
166,68212.153026191532
167,69413.824165005746
168,70674.575972085004
169,71882.205564942065
170,73061.179823701343
171,74028.393208969122
172,74781.587683147038
173,75218.72476126012
174,75273.835845834154
175,75045.533878501054
176,74451.909545838542
177,73554.468867121861
178,72455.996246293958
179,71336.436218377945
180,70260.081791186429
181,69304.477705765516
182,68416.568348289235
183,68320.555159286538
184,68315.118097998682
185,68380.257645314341
186,68553.058102179202
187,68961.748724468736
188,69510.577230462048
189,70277.11552026635
190,71160.793271663584
191,72090.149741437344
192,72996.776517127131
193,73821.720676797704
194,74603.35226110986
195,75141.437935714712
196,75475.180699855337
197,75547.233022091183
198,75244.204277546029
199,74426.57219602383
200,73748.884347794519
201,72798.332291275568
202,71604.264140992105
203,70379.372556031143
204,69216.330770158427
205,67778.387605207303
206,67335.081086678911
207,67239.680201460782
208,67261.165764910562
209,67442.494882234721
210,67597.738993834791
211,67997.558136290711
212,68592.770129351615
213,69499.595541439558
214,70545.877161014156
215,71789.122146836249
216,73032.671574947817
217,74472.655108712061
218,75195.101965766182
219,75562.890348090965
220,75810.387829403509
221,75902.271609315751
222,75622.047160927017
223,75252.240297721612
224,74175.48183167458
225,73215.567599982198
226,71795.784723507008
227,70111.112195849186
228,67897.0495302583
229,67182.629388974121
230,66663.626226249704
231,66323.804048116901
232,66324.641219039462
233,66449.976784602302
234,67018.074612628741
235,67621.216973422532
236,68658.538901574779
237,70134.540921332125
238,72162.885246820355
239,73500.884329749257
240,74633.248746990852
241,75660.826657181591
242,76272.688235559021
243,76789.69692832281
244,76853.09090292496
245,76641.629178002753
246,75866.776102983466
247,75013.880297983182
248,73098.827056883514
249,71227.418807615148
250,69573.640702584773
251,68113.668399234521
252,67019.637737105193
253,66187.827163298862
254,65718.209522539139
255,65567.831749370482
256,65859.154757274795
257,66307.715859091419
258,67607.193712860229
259,68652.800767156208
260,70150.832201138197
261,72275.653376559625
262,73685.455926175113
263,74728.876568819047
264,75493.905993937762
265,75890.927336935056
266,75870.919989748203
267,75642.53293103505
268,75009.104494754676
269,73992.637347641517
270,73070.053932778013
271,71740.618609373152
272,70120.856803978895
273,68702.345665551111
274,67005.485551364342
275,66553.256064890287
276,66497.476366807387
277,66564.058266438398
278,66771.170244075605
279,67277.479800776986
280,68132.213471418276
281,69329.514981411587
282,70742.651979262373
283,72235.000689306093
284,73631.987791554915
285,74771.491237984286
286,75543.189234504214
287,75859.497066047334
288,75540.526073135101
289,74897.520094867345
290,73596.928581610933
291,72691.389488442655
292,71545.652546681245
293,70298.893296758601
294,69002.821484408298
295,67838.130084625722
296,66632.663337713268
297,66275.496268237519
298,66321.957214859547
299,66382.282138213399
300,66642.351571309395
301,67257.975267926129
302,68196.282685453974
303,69384.766846417115
304,70710.780113042536
305,72125.168901167315
306,73429.651299880512
307,74537.797484042399
308,75307.742711457031
309,75548.183520803344
310,75422.421069525823
311,74644.605855299233
312,73853.297981121679
313,72462.527313981613
314,71501.807685418855
315,70393.32978769936
316,69200.774904221005
317,67809.259193397884
318,67132.725584247717
