"Iteration: Iteration","Drag Coefficient Monitor: Force Coefficient"
1,4.9647557124262569
2,2.4268925042669522
3,1.5939487586112966
4,1.3736869559023526
5,1.2671150114296603
6,0.57529908096215832
7,0.59301037924114985
8,0.6860118179983713
9,1.090982097688475
10,1.2606547920448112
11,1.3258169442405598
12,1.4117556819689638
13,1.4384393377001747
14,1.4736290407361199
15,1.5158188520834901
16,1.5596771102348415
17,1.5965007200735499
18,1.6903242020904747
19,1.6045441005245309
20,1.5818014673316181
21,1.5571097607983573
22,1.5334956464882468
23,1.512870502995705
24,1.4819733022492632
25,1.4707033029635106
26,1.4612166396038981
27,1.4557078174130136
28,1.4525462474636046
29,1.4534737978470629
30,1.4558123703074242
31,1.4563524817204629
32,1.4595918198025974
33,1.463356062123832
34,1.4671767616188924
35,1.467933102462629
36,1.466806517410558
37,1.4638255900875736
38,1.4582726195483087
39,1.4509399125347349
40,1.4418871038387775
41,1.4317558438201488
42,1.4206068981896822
43,1.4034788979772437
44,1.392338384404469
45,1.3801827681883547
46,1.3665433333965944
47,1.352808884672926
48,1.340038253778554
49,1.3285792651941057
50,1.3181630552624917
51,1.3109926377635479
52,1.3054065987774033
53,1.3042563651947858
54,1.3059627116110184
55,1.311117815311573
56,1.3189969896747957
57,1.3283896132573629
58,1.3387033011844061
59,1.3498089683286343
60,1.3602439026161661
61,1.3697368672273247
62,1.3771018200306311
63,1.3807551711823038
64,1.3793641534626682
65,1.373743182692009
66,1.3638394154698212
67,1.3506466821115117
68,1.3359924972937987
69,1.3211798866680273
70,1.306385291607324
71,1.2882218398837726
72,1.2799435683636669
73,1.2787871019309196
74,1.2825585006858014
75,1.292669135249378
76,1.3062403016643593
77,1.3213449265172734
78,1.3367955729691123
79,1.3519040298460472
80,1.361051104280703
81,1.3719567182396268
82,1.3801852797219538
83,1.3851357502733403
84,1.3854379821829756
85,1.381009238327682
86,1.3710372216184703
87,1.3571832288066983
88,1.3398067559877507
89,1.3217206265326427
90,1.3051120366886291
91,1.2903966800541631
92,1.2828595812703922
93,1.2824615144478515
94,1.2883555870498309
95,1.3006299978419795
96,1.3183815735048905
97,1.3378637763640004
98,1.3575785466354013
99,1.3763382288463719
100,1.3902771164759447
101,1.3992376011014143
102,1.402071919535461
103,1.3982130431014836
104,1.3890430715170945
105,1.3751577997147746
106,1.3579503774208079
107,1.3386324973577348
108,1.3187841922929098
109,1.2996279346505639
110,1.2846604391546057
111,1.2723973071665498
112,1.2640704250792671
113,1.2594784734208471
114,1.2592777420149597
115,1.2647049174976577
116,1.2745419655884787
117,1.2884757538055596
118,1.3056031925266751
119,1.3232521008233262
120,1.3475852677871216
121,1.3620240973344304
122,1.3674028994827203
123,1.3705134277697546
124,1.3712881885707511
125,1.3689611099372609
126,1.3649073575097967
127,1.3587331156649378
128,1.3506253872018981
129,1.3413142466189625
130,1.3317630407405359
131,1.3229299887383712
132,1.3150930276626969
133,1.3079376258291375
134,1.3029799213819859
135,1.3001208893752438
136,1.2990636049738034
137,1.3001170262154202
138,1.3032212086308943
139,1.3086302798245615
140,1.3154450736105245
141,1.3224220941763707
142,1.3292023691029755
143,1.3348267732609738
144,1.3380585668832385
145,1.338901156831737
146,1.3378031690063168
147,1.33408865911765
148,1.3277468159348167
149,1.3188719955090555
150,1.3084788149779087
151,1.2971811580685182
152,1.287074565525016
153,1.2778962730356063
154,1.2713760234211786
155,1.2683505222721616
156,1.2678374468672144
157,1.2701223456091837
158,1.2750534671314167
159,1.28214917194696
160,1.2909918861104828
161,1.3004004573669945
162,1.3104482180083914
163,1.3236203856021831
164,1.3326203221160229
165,1.3357815755594902
166,1.3378549373325845
167,1.3388757930053934
168,1.3386072766766766
169,1.336414196385328
170,1.331698201554389
171,1.3244960310271108
172,1.3151097993993448
173,1.2990909899867931
174,1.2850336682688557
175,1.2729162503064309
176,1.2627557351220711
177,1.2549506079533024
178,1.2499535447453705
179,1.2485701318673454
180,1.2495651841873865
181,1.253680799193194
182,1.2632492238035049
183,1.2725394899726876
184,1.2894585951121396
185,1.3050752466728111
186,1.3190649805355308
187,1.3317201583432077
188,1.3419389737628524
189,1.3497828004090402
190,1.3543644052857928
191,1.3551067723564807
192,1.35377857780723
193,1.3497411255592604
194,1.3425852574399171
195,1.3323440098650465
196,1.3193885876735432
197,1.2968474257290712
198,1.2780355641604098
199,1.2637519852678596
