"Iteration: Iteration","Drag Monitor: Force (N)"
1,209807.75332291666
2,102559.09723857115
3,67359.368179800527
4,58051.229643688108
5,53547.559869744073
6,24311.812032020895
7,25060.281426204099
8,28990.469345141159
9,46104.283088619661
10,53274.554671982587
11,56028.270170946133
12,59659.992360433753
13,60787.628478640981
14,62274.725319195131
15,64057.642756553527
16,65911.067807127591
17,67467.212620086269
18,71432.139619744048
19,67807.12130427752
20,66846.030557574821
21,65802.573079800844
22,64804.654036631313
23,63933.047200608715
24,62627.349065984861
25,62151.085304572305
26,61750.184305349037
27,61517.384612016271
28,61383.778463701958
29,61422.976215478571
30,61521.802957882683
31,61544.627759076844
32,61681.520344459226
33,61840.595084512308
34,62002.05567262831
35,62034.018206610308
36,61986.409362914215
37,61860.437069274689
38,61625.771691843234
39,61315.895663010131
40,60933.32911517231
41,60505.187827672795
42,60034.039724898488
43,59310.22017532996
44,58839.428406519022
45,58325.73897721331
46,57749.344218637118
47,57168.934225325807
48,56629.254625429639
49,56145.004283718234
50,55704.821174925593
51,55401.803408698885
52,55165.740577505836
53,55117.132360355987
54,55189.241589634752
55,55407.093340699343
56,55740.062768993615
57,56136.989700712307
58,56572.840287888357
59,57042.159466443467
60,57483.133855870059
61,57884.301142400611
62,58195.53985997205
63,58349.92840225494
64,58291.144784390592
65,58053.605755847035
66,57635.078184567021
67,57077.560774562873
68,56458.283256902163
69,55832.310754677776
70,55207.099579989073
71,54439.522438344524
72,54089.687391137006
73,54040.815777284828
74,54200.192944154514
75,54627.462611651681
76,55200.972387444286
77,55839.28524486113
78,56492.220778292001
79,57130.695574864978
80,57517.245739218335
81,57978.110783917713
82,58325.845113195086
83,58535.049183735369
84,58547.821332379928
85,58360.665135349693
86,57939.253379556409
87,57353.791521057588
88,56619.471660425712
89,55855.162113878214
90,55153.292551129598
91,54531.429947276731
92,54212.916438457381
93,54196.094360887546
94,54445.174517530169
95,54963.88413806953
96,55714.055631594434
97,56537.362446352818
98,57370.49742771098
99,58163.270930722298
100,58752.32039594806
101,59130.985381064827
102,59250.762066423325
103,59087.688142577063
104,58700.170357695875
105,58113.386666842511
106,57386.210785269985
107,56569.84815843407
108,55731.070072637027
109,54921.537517398487
110,54289.019668631416
111,53770.786683939601
112,53418.897381804367
113,53224.844115818043
114,53216.361320746139
115,53445.710670617293
116,53861.418729343924
117,54450.252696297437
118,55174.048517561932
119,55919.881346567927
120,56948.18714601086
121,57558.363872400681
122,57785.668992666033
123,57917.118149351962
124,57949.859100253714
125,57851.518080437505
126,57680.208807917843
127,57419.288858382373
128,57076.660863791411
129,56683.177357303874
130,56279.548827936007
131,55906.269073018717
132,55575.083554252713
133,55272.700341506861
134,55063.190570644925
135,54942.36950375708
136,54897.689266150555
137,54942.206248819632
138,55073.38723258183
139,55301.9715054931
140,55589.960815825783
141,55884.805737630122
142,56171.336300594616
143,56409.020422134803
144,56545.594182933062
145,56581.201555038904
146,56534.801213879975
147,56377.828138148085
148,56109.82545137214
149,55734.780586624234
150,55295.570687200256
151,54818.138130339576
152,54391.039276312345
